FeatureCode,DateCode,Measurement,Units,Value,Sex,Age,SIMD quintiles,Urban Rural Classification,place_name
S12000026,2015-2017,95% Lower Confidence Limit,Years,63.44,Female,0,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,58.87,Female,5-9,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,54.21,Female,10-14,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,49.58,Female,15-19,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,62.69,Female,1-4,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,24.73,Female,45-49,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,0.76,Male,85-89,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,28.72,Female,40-44,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,21.03,Female,50-54,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,3.66,Male,75-79,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,1.88,Male,80-84,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,0.26,Male,90+,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,3.09,Female,80-84,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,10.84,Female,65-69,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,5.18,Female,75-79,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,7.89,Female,70-74,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,32.71,Female,35-39,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,45.15,Female,20-24,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,36.76,Female,30-34,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,17.49,Female,55-59,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,14.1,Female,60-64,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,40.93,Female,25-29,All,All,Scottish Borders
