eggID,species,thick unpigmented,thick pigmented,diference between 
12,arctic tern,258,252,6
19,arctic tern,180,162,18
21,arctic tern,218,200,18
22a,arctic tern,232,214,18
22b,arctic tern,226,212,14
38,arctic tern,208,188,20
39,arctic tern,240,232,8
45,arctic tern,192,182,10
4a,common gull,206,204,2
4b,common gull,215,217.5,-2.5
5b,common gull,276,260,16
6,common gull,200,190,10
7a,common gull,134,132,2
7b,common gull,230,216,14
7c,common gull,234,226,8
7e,common gull,190,160,30
8,common gull,234,222,12
14b,common gull,266,256,10
14c,common gull,262,242,20
16,common gull,254,228,26
24a,common gull,236,218,18
24b,common gull,248,238,10
24c,common gull,230,216,14
30,common gull,168,150,18
34,common gull,230,216.6666667,13.33333333
40,common gull,220,204,16
41,common gull,124,118,6
42,common gull,136,134,2
43,common gull,138,136,2
44,common gull,138,132,6
46,common gull,246,224,22
1,lapwing,248,228,20
3,lapwing,256,226,30
5a,oystercatcher,260,240,20
7d ,oystercatcher,230,218,12
7f,oystercatcher,296,288,8
11,oystercatcher,280,266,14
13,oystercatcher,240,230,10
14a,oystercatcher,210,196,14
14d,oystercatcher,202,190,12
15,oystercatcher,120,106,14
18,oystercatcher,220,204,16
28,oystercatcher,130,126,4
31,oystercatcher,126,118,8
32,oystercatcher,226,208,18
33,oystercatcher,206,188,18
35,oystercatcher,213.3333333,186.6666667,26.66666667
36,oystercatcher,226,212,14
37,oystercatcher,200,194,6
20,redshank,146,134,12
17,ringed plover,228,216,12
