FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,NewRatingPending,Longitude,Latitude,AddressLine1
946085,15/00071/COM,(DC1) Donut Coffee (Supreme Group),Mobile caterer,7846,105 Clydeholm Road,Glasgow,G14 0QQ,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2017-02-07,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.337705,55.870607,
36328,10/00926/COM,(Nisa) News 24,Retailers - other,4613,68 Gordon Street,Glasgow,G1 3RS,Improvement Required,fhis_improvement_required_en-GB,2018-12-07,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.257722,55.860794,
19429,06/00508/COM,(Starbucks),Restaurant/Cafe/Canteen,1,390 Provan Walk,Glasgow,G34 9DL,Pass,fhis_pass_en-GB,2015-11-12,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.136909,55.872982,
36363,10/01018/COM,1 Call Direct Staff Canteen,Restaurant/Cafe/Canteen,1,116 West Regent Street,Glasgow,G2 2QD,Pass,fhis_pass_en-GB,2015-11-20,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.258732,55.863606,Storey Ground
779621,15/00460/COM,1 Level Up,Restaurant/Cafe/Canteen,1,34 St Enoch Square,Glasgow,G1 4DF,Pass,fhis_pass_en-GB,2015-07-24,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.256026,55.857455,Storey 1/2
612666,13/00979/COM,1 Stop News,Retailers - other,4613,366 Cumbernauld Road,Glasgow,G31 3NQ,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2013-11-19,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.205416,55.862444,
1152792,19/00248/COM,100 Fusion Food Supermarket,Retailers - other,4613,186 Trongate,Glasgow,,Pass,fhis_pass_en-GB,2019-06-21,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.2488425,55.8575829,
96596,29500/0310/0/000,101 Convenience Store,Retailers - other,4613,310 Dyke Road,Glasgow,G13 4QU,Pass,fhis_pass_en-GB,2010-07-01,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.365896,55.892573,
124676,53150/1587/0/000,101 Convenience Store,Retailers - other,4613,1587 Paisley Road West,Glasgow,G52 3QY,Pass,fhis_pass_en-GB,2010-07-07,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.334799,55.84591,
772027,15/00388/COM,1051 GWR,Restaurant/Cafe/Canteen,1,1051 Great Western Road,Glasgow,G12 0XP,Pass,fhis_pass_en-GB,2018-02-21,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.310922,55.884459,
49192,11/01114/COM,111 By Nico,Restaurant/Cafe/Canteen,1,109 Cleveden Road,Glasgow,G12 0JU,Pass,fhis_pass_en-GB,2019-02-20,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.307365,55.888651,
1085560,18/00678/COM,123 Pizza Ltd.,Restaurant/Cafe/Canteen,1,318 Battlefield Road,Glasgow,G42 9JD,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2018-08-01,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.259888,55.824346,
