category,quality,item_id,color,size,color_long,price,stock_quantity,image
AC,Other,5724536001677445461,DTE,EACH,DEEP TEAL,124.99,1439,https://picsum.photos/seed/5724536001677445461/200/300
JK,DLX,6281272229728998706,KHA,S,KHAKI,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,KHA,XXS,KHAKI,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,-4191911794694246473,BBL,S,BRIGHT BLUE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BLK,S,BLACK,124.99,1,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BLK,XXS,BLACK,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,RED,XL,RED,124.99,21,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,RED,XXL,RED,124.99,6,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,WHT,L,WHITE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,WHT,S,WHITE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,WHT,XS,WHITE,124.99,10,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,WHT,XXS,WHITE,124.99,8,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4197701046468681585,RED,XXS,RED,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,WHT,L,WHITE,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,WHT,XS,WHITE,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,WHT,XXL,WHITE,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,460497127709884159,BLK,M,BLACK,114.99,0,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,BLK,XL,BLACK,114.99,7,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,RCN,S,BRIGHT CITRON,114.99,0,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,RCN,XS,BRIGHT CITRON,114.99,16,https://picsum.photos/seed/460497127709884159/200/300
